Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1625731775.363176,06:15:5e:9a:f2:71,11,2,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.363198,06:15:5e:9a:f2:71,1,2,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.403338,06:15:5e:9a:f2:71,1,2,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.445705,06:15:5e:9a:f2:71,1,3,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.445724,06:15:5e:9a:f2:71,11,3,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.486256,06:15:5e:9a:f2:71,11,3,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.486274,06:15:5e:9a:f2:71,1,3,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.53012,06:15:5e:9a:f2:71,11,4,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.570596,06:15:5e:9a:f2:71,11,4,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.570614,06:15:5e:9a:f2:71,1,4,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.654427,06:15:5e:9a:f2:71,11,5,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.697642,06:15:5e:9a:f2:71,1,6,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.697663,06:15:5e:9a:f2:71,6,6,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,109,SamsungJ6_K
1625731775.738609,06:15:5e:9a:f2:71,11,6,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.738613,06:15:5e:9a:f2:71,6,6,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,109,SamsungJ6_K
1625731775.782398,06:15:5e:9a:f2:71,11,7,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.905353,06:15:5e:9a:f2:71,11,8,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.947946,06:15:5e:9a:f2:71,11,9,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731775.988483,06:15:5e:9a:f2:71,11,9,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731776.072068,06:15:5e:9a:f2:71,11,10,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731776.115199,06:15:5e:9a:f2:71,11,11,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731776.154906,06:15:5e:9a:f2:71,11,11,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731776.198077,06:15:5e:9a:f2:71,11,12,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
1625731776.281303,06:15:5e:9a:f2:71,11,13,21001fff00000000000000000000000000000000000000000000,0000008001,001018020000000000,,02040b16,0c1218243048606c,,,121,SamsungJ6_K
